Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 1372, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '72.20.15.61-TCP', 'biflow_src_port': 1378, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.246.102-TCP', 'biflow_src_port': 1384, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 1403, 'biflow_dst_port': 179}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 1424, 'biflow_dst_port': 179}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.246.102-TCP', 'biflow_src_port': 1454, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.246.102-TCP', 'biflow_src_port': 1568, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1605, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1611, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '72.20.15.61-TCP', 'biflow_src_port': 1640, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 3 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.246.102-TCP', 'biflow_src_port': 1699, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1799, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1809, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1815, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 1820, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '72.20.15.61-TCP', 'biflow_src_port': 1848, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 3 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 1999, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 2000, 'biflow_dst_port': 179}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 2018, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.246.102-TCP', 'biflow_src_port': 2062, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '193.23.181.44-TCP', 'biflow_src_port': 2504, 'biflow_dst_port': 179}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.37.196.55-TCP', 'biflow_src_port': 2942, 'biflow_dst_port': 80}
