Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '208.73.210.29-TCP', 'biflow_src_port': 1089, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '208.73.210.29-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1089}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.204-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.204-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 33464} | Inverse filter: {'bihost_fwd_id': '192.168.88.121-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 33464, 'biflow_dst_port': 137}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.73-TCP', 'biflow_src_port': 1035, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.73-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1035}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.90-TCP', 'biflow_src_port': 1036, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.90-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1036}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 54053}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '86.65.39.15-TCP', 'biflow_src_port': 1037, 'biflow_dst_port': 6667}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 45053}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.88.148-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 2869}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.88.148-TCP', 'biflow_src_port': 1040, 'biflow_dst_port': 2869}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.88.148-TCP', 'biflow_src_port': 1041, 'biflow_dst_port': 2869}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.96.69-UDP', 'biflow_src_port': 1043, 'biflow_dst_port': 161}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '82.96.64.4-TCP', 'biflow_src_port': 1082, 'biflow_dst_port': 6667}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 60973}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '38.229.70.20-TCP', 'biflow_src_port': 1041, 'biflow_dst_port': 6667} | Inverse filter: {'bihost_fwd_id': '38.229.70.20-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 6667, 'biflow_dst_port': 1041}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 36219}
