Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.73-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.73-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1039}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1040, 'biflow_dst_port': 5678}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1041, 'biflow_dst_port': 53}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1042, 'biflow_dst_port': 53}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1043, 'biflow_dst_port': 5678}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.88.22-TCP', 'biflow_src_port': 1044, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '207.189.109.58-TCP', 'biflow_src_port': 1045, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '68.90.69.10-TCP', 'biflow_src_port': 1046, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '63.173.209.71-TCP', 'biflow_src_port': 1047, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '208.195.132.25-TCP', 'biflow_src_port': 1048, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '88.255.110.57-TCP', 'biflow_src_port': 1049, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '194.2.0.84-TCP', 'biflow_src_port': 1050, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '85.115.62.190-TCP', 'biflow_src_port': 1051, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '198.107.153.93-TCP', 'biflow_src_port': 1052, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '204.232.236.156-TCP', 'biflow_src_port': 1053, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '94.245.120.86-TCP', 'biflow_src_port': 1054, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.54.188.110-TCP', 'biflow_src_port': 1058, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '64.59.134.8-TCP', 'biflow_src_port': 1060, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.205.4.13-TCP', 'biflow_src_port': 1062, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.54.188.126-TCP', 'biflow_src_port': 1065, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.37.104-TCP', 'biflow_src_port': 1070, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.37.120-TCP', 'biflow_src_port': 1071, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.92.136-TCP', 'biflow_src_port': 1072, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.92.152-TCP', 'biflow_src_port': 1073, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.92.168-TCP', 'biflow_src_port': 1074, 'biflow_dst_port': 25}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '64.59.134.8-TCP', 'biflow_src_port': 1121, 'biflow_dst_port': 25}
