Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '202.96.209.5-TCP', 'biflow_src_port': 1066, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.98-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.98-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1039}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.193-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.193-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123} | Inverse filter: {'bihost_fwd_id': '65.55.56.40-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '169.254.197.200-TCP', 'biflow_src_port': 1038, 'biflow_dst_port': 2869} | Inverse filter: {'bihost_fwd_id': '169.254.197.200-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 2869, 'biflow_dst_port': 1038}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.88.148-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 2869} | Inverse filter: {'bihost_fwd_id': '192.168.88.148-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 2869, 'biflow_dst_port': 1039}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '175.6.0.105-TCP', 'biflow_src_port': 1042, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '175.6.0.103-TCP', 'biflow_src_port': 1043, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '122.225.115.158-UDP', 'biflow_src_port': 23075, 'biflow_dst_port': 3478}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '122.225.115.158-UDP', 'biflow_src_port': 23076, 'biflow_dst_port': 3478}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '122.225.115.159-UDP', 'biflow_src_port': 23075, 'biflow_dst_port': 3478}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '208.98.43.148-TCP', 'biflow_src_port': 1046, 'biflow_dst_port': 81}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '174.128.235.237-TCP', 'biflow_src_port': 1047, 'biflow_dst_port': 88}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.98-TCP', 'biflow_src_port': 1048, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1049, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1050, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1051, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1053, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1054, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1055, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1057, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1059, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '60.28.190.87-TCP', 'biflow_src_port': 1061, 'biflow_dst_port': 80}
