Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.206-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.206-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.191-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.191-TCP', 'bihost_bwd_id': '74.125.232.201-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.201-TCP', 'bihost_bwd_id': '147.32.84.191-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.191-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.199-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.191-TCP', 'bihost_bwd_id': '74.125.232.192-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.192-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.192-TCP', 'bihost_bwd_id': '74.125.232.206-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.192-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.193-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.193-TCP', 'bihost_bwd_id': '74.125.232.198-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.193-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.204-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1025, 'biflow_dst_port': 53}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.204-TCP', 'bihost_bwd_id': '74.125.232.202-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.204-UDP', 'bihost_bwd_id': '65.55.56.40-UDP', 'biflow_src_port': 123, 'biflow_dst_port': 123}
